asset_id,failure_event_id,event_date,downtime_hours,truck_roll_cost,repair_cost,estimated_customers_impacted,estimated_revenue_loss,sla_breach_flag,notes
GEN_0001,FAIL_000001,2024-03-16,8.64,84.14,800.64,12,3143.87,0,Synthetic business impact estimate
GEN_0001,FAIL_000002,2024-04-24,11.02,140.96,1750.01,7,3190.03,0,Synthetic business impact estimate
GEN_0001,FAIL_000003,2024-09-30,7.18,163.67,702.94,3,800.09,0,Synthetic business impact estimate
GEN_0001,FAIL_000004,2024-11-17,3.67,159.03,1528.84,18,1392.97,0,Synthetic business impact estimate
GEN_0001,FAIL_000005,2024-11-27,4.94,157.13,1659.51,12,1142.04,0,Synthetic business impact estimate
GEN_0002,FAIL_000006,2023-02-13,6.53,216.53,1305.36,20,2461.59,1,Synthetic business impact estimate
GEN_0002,FAIL_000007,2023-08-11,8.55,188.16,870.7,26,4683.84,1,Synthetic business impact estimate
GEN_0002,FAIL_000008,2024-07-09,6.01,125.93,937.22,19,4182.17,1,Synthetic business impact estimate
GEN_0002,FAIL_000009,2024-12-04,10.15,215.95,1146.93,19,7590.54,1,Synthetic business impact estimate
GEN_0002,FAIL_000010,2024-12-18,6.53,175.96,935.41,29,5697.1,1,Synthetic business impact estimate
GEN_0002,FAIL_000011,2024-12-26,7.99,103.92,1687.85,35,9293.32,1,Synthetic business impact estimate
GEN_0002,FAIL_000012,2025-06-16,9.39,167.02,1189.13,26,6158.33,1,Synthetic business impact estimate
GEN_0003,FAIL_000013,2023-07-16,3.18,163.15,1399.76,25,2630.96,0,Synthetic business impact estimate
GEN_0003,FAIL_000014,2023-10-26,8.33,190.96,959.27,15,4063.82,1,Synthetic business impact estimate
GEN_0003,FAIL_000015,2024-09-13,7.11,174.58,1337.55,22,3874.98,1,Synthetic business impact estimate
GEN_0003,FAIL_000016,2024-11-15,6.45,243.4,1278.49,12,2043.81,1,Synthetic business impact estimate
GEN_0003,FAIL_000017,2025-09-04,5.78,114.36,550.53,9,1865.91,0,Synthetic business impact estimate
GEN_0003,FAIL_000018,2025-10-03,3.52,239.68,770.81,28,3752.64,0,Synthetic business impact estimate
GEN_0004,FAIL_000019,2023-08-09,2.2,107.26,835.82,16,1290.36,0,Synthetic business impact estimate
GEN_0004,FAIL_000020,2024-12-01,8.53,167.93,775.7,4,614.45,0,Synthetic business impact estimate
GEN_0004,FAIL_000021,2025-07-01,8.24,150.44,638.71,3,715.91,0,Synthetic business impact estimate
GEN_0005,FAIL_000022,2023-09-17,9.73,127.02,1331.15,8,3263.03,0,Synthetic business impact estimate
GEN_0005,FAIL_000023,2024-03-20,5.27,188.93,505.5,11,2410.0,0,Synthetic business impact estimate
GEN_0005,FAIL_000024,2024-04-04,3.55,143.09,880.64,13,1184.89,0,Synthetic business impact estimate
GEN_0005,FAIL_000025,2024-04-22,6.99,161.59,2012.9,3,407.28,0,Synthetic business impact estimate
GEN_0005,FAIL_000026,2024-07-16,4.65,105.14,1021.6,9,995.38,0,Synthetic business impact estimate
GEN_0005,FAIL_000027,2024-10-02,6.75,152.75,655.94,19,4913.74,0,Synthetic business impact estimate
GEN_0005,FAIL_000028,2025-10-28,8.15,238.17,786.47,17,5252.53,0,Synthetic business impact estimate
GEN_0006,FAIL_000029,2024-09-23,8.85,250.77,1574.32,30,9733.71,1,Synthetic business impact estimate
GEN_0006,FAIL_000030,2025-07-03,8.21,226.47,1468.78,31,5226.97,1,Synthetic business impact estimate
GEN_0006,FAIL_000031,2025-09-08,7.98,225.33,206.47,11,2168.17,1,Synthetic business impact estimate
GEN_0006,FAIL_000032,2025-12-19,9.23,234.89,1314.6,29,5218.97,1,Synthetic business impact estimate
GEN_0007,FAIL_000033,2023-05-26,5.97,188.28,808.27,42,6468.11,0,Synthetic business impact estimate
GEN_0007,FAIL_000034,2023-11-11,1.0,313.13,501.45,16,523.98,0,Synthetic business impact estimate
GEN_0007,FAIL_000035,2024-11-19,7.68,113.16,1515.64,11,2786.91,1,Synthetic business impact estimate
GEN_0008,FAIL_000036,2024-09-06,3.37,158.03,1660.58,21,2736.86,0,Synthetic business impact estimate
GEN_0008,FAIL_000037,2025-03-08,8.18,198.63,1804.99,22,4691.68,1,Synthetic business impact estimate
GEN_0008,FAIL_000038,2025-11-01,10.94,185.74,1567.74,18,5393.41,1,Synthetic business impact estimate
GEN_0009,FAIL_000039,2023-03-05,4.79,165.48,613.68,3,513.69,0,Synthetic business impact estimate
GEN_0009,FAIL_000040,2023-03-20,5.75,200.6,366.19,3,618.99,0,Synthetic business impact estimate
GEN_0009,FAIL_000041,2023-09-04,4.48,177.12,1392.82,11,1214.4,0,Synthetic business impact estimate
GEN_0009,FAIL_000042,2024-01-16,4.21,195.8,725.09,4,485.05,0,Synthetic business impact estimate
GEN_0009,FAIL_000043,2024-01-26,1.0,231.07,806.81,3,122.62,0,Synthetic business impact estimate
GEN_0009,FAIL_000044,2024-02-09,9.44,199.8,1679.56,18,5454.03,0,Synthetic business impact estimate
GEN_0009,FAIL_000045,2024-04-12,9.91,218.26,1609.82,8,1859.64,0,Synthetic business impact estimate
GEN_0009,FAIL_000046,2024-04-14,11.69,159.38,1171.88,24,7894.11,0,Synthetic business impact estimate
GEN_0009,FAIL_000047,2024-11-16,1.0,242.22,502.72,13,309.5,0,Synthetic business impact estimate
GEN_0009,FAIL_000048,2024-11-28,7.63,233.99,1531.62,14,4371.96,0,Synthetic business impact estimate
GEN_0009,FAIL_000049,2025-10-22,2.04,228.5,668.57,9,497.5,0,Synthetic business impact estimate
GEN_0009,FAIL_000050,2025-11-08,9.63,227.8,1257.23,22,6692.96,0,Synthetic business impact estimate
GEN_0010,FAIL_000051,2024-12-14,8.27,230.25,1397.3,3,476.75,0,Synthetic business impact estimate
GEN_0010,FAIL_000052,2024-12-21,14.01,80.0,1881.83,17,4871.24,0,Synthetic business impact estimate
GEN_0010,FAIL_000053,2025-07-03,2.92,167.64,1065.13,12,1282.91,0,Synthetic business impact estimate
GEN_0010,FAIL_000054,2025-09-09,2.83,152.22,644.2,19,984.25,0,Synthetic business impact estimate
GEN_0011,FAIL_000055,2024-09-14,6.35,128.29,1084.64,3,513.4,0,Synthetic business impact estimate
GEN_0011,FAIL_000056,2024-09-15,8.33,233.2,1576.1,25,6550.36,0,Synthetic business impact estimate
GEN_0012,FAIL_000057,2023-05-12,9.14,136.35,1811.75,11,2171.85,0,Synthetic business impact estimate
GEN_0012,FAIL_000058,2024-01-20,5.57,113.81,965.32,12,2296.34,0,Synthetic business impact estimate
GEN_0012,FAIL_000059,2024-10-05,9.3,273.43,1248.41,11,2352.9,0,Synthetic business impact estimate
GEN_0012,FAIL_000060,2025-01-01,10.19,160.33,362.11,9,2024.66,0,Synthetic business impact estimate
GEN_0013,FAIL_000061,2023-06-23,6.95,172.9,130.14,23,3946.71,1,Synthetic business impact estimate
GEN_0013,FAIL_000062,2023-12-25,7.92,201.24,1060.45,14,4126.61,1,Synthetic business impact estimate
GEN_0013,FAIL_000063,2024-07-15,6.51,144.95,1021.9,16,2931.16,1,Synthetic business impact estimate
GEN_0013,FAIL_000064,2024-10-16,4.2,160.36,1072.04,19,2053.4,0,Synthetic business impact estimate
GEN_0013,FAIL_000065,2024-10-18,2.99,151.09,845.78,18,2235.11,0,Synthetic business impact estimate
GEN_0013,FAIL_000066,2025-02-05,9.52,237.02,862.95,19,4510.54,1,Synthetic business impact estimate
GEN_0014,FAIL_000067,2024-10-28,4.31,197.97,1205.65,17,1634.38,0,Synthetic business impact estimate
GEN_0014,FAIL_000068,2024-11-01,4.29,167.12,600.87,13,2177.1,0,Synthetic business impact estimate
GEN_0014,FAIL_000069,2024-11-05,3.74,207.92,1537.3,3,402.58,0,Synthetic business impact estimate
GEN_0014,FAIL_000070,2025-07-07,6.05,186.49,1001.85,4,700.82,0,Synthetic business impact estimate
GEN_0014,FAIL_000071,2025-07-11,8.91,116.42,923.48,3,553.28,0,Synthetic business impact estimate
GEN_0014,FAIL_000072,2025-12-01,3.93,243.51,1463.99,8,570.36,0,Synthetic business impact estimate
GEN_0015,FAIL_000073,2023-07-19,10.6,139.31,1236.06,15,4142.04,0,Synthetic business impact estimate
GEN_0015,FAIL_000074,2023-10-29,5.24,224.77,375.61,12,1360.59,0,Synthetic business impact estimate
GEN_0015,FAIL_000075,2024-12-30,14.6,234.78,2523.2,3,1677.81,0,Synthetic business impact estimate
GEN_0016,FAIL_000076,2024-01-23,7.67,267.97,1922.68,15,4166.64,0,Synthetic business impact estimate
GEN_0016,FAIL_000077,2025-03-28,6.64,209.73,1221.55,20,2717.83,0,Synthetic business impact estimate
GEN_0016,FAIL_000078,2025-04-01,6.85,214.39,945.34,10,1734.93,0,Synthetic business impact estimate
GEN_0016,FAIL_000079,2025-05-23,5.42,139.43,669.11,3,376.37,0,Synthetic business impact estimate
GEN_0016,FAIL_000080,2025-12-22,10.48,168.92,1477.96,3,1179.31,0,Synthetic business impact estimate
GEN_0017,FAIL_000081,2023-11-14,10.99,255.54,2175.17,3,767.41,0,Synthetic business impact estimate
GEN_0017,FAIL_000082,2024-04-04,7.01,232.37,1827.01,11,2866.88,0,Synthetic business impact estimate
GEN_0017,FAIL_000083,2025-04-28,11.1,173.86,1711.27,3,892.7,0,Synthetic business impact estimate
GEN_0017,FAIL_000084,2025-08-20,7.92,198.41,775.16,19,4385.31,0,Synthetic business impact estimate
GEN_0018,FAIL_000085,2023-07-08,9.36,175.08,1472.02,9,2539.87,0,Synthetic business impact estimate
