pm_event_id,asset_id,pm_date,next_failure_event_id,next_failure_date,days_to_next_failure,failure_found_flag,ontime_flag,delay_days,pm_total_cost,failure_total_cost,failure_category
PM_000001,GEN_0001,2023-01-27,FAIL_000001,2024-03-16,414.0,1,0,16,516.41,884.78,Cooling
PM_000002,GEN_0001,2023-08-08,FAIL_000001,2024-03-16,221.0,1,1,3,239.12,884.78,Cooling
PM_000003,GEN_0001,2024-02-11,FAIL_000001,2024-03-16,34.0,1,0,16,892.97,884.78,Cooling
PM_000004,GEN_0001,2024-08-08,FAIL_000003,2024-09-30,53.0,1,0,10,496.51,866.61,Cooling
PM_000005,GEN_0001,2025-02-04,,,,0,1,3,722.64,,
PM_000006,GEN_0001,2025-08-24,,,,0,0,9,732.34,,
PM_000007,GEN_0002,2023-01-21,FAIL_000006,2023-02-13,23.0,1,1,3,899.05,1521.89,Cooling
PM_000008,GEN_0002,2023-06-10,FAIL_000007,2023-08-11,62.0,1,0,17,421.01,1058.86,Alternator
PM_000009,GEN_0002,2023-09-22,FAIL_000008,2024-07-09,291.0,1,1,-5,721.7,1063.15,Fuel
PM_000010,GEN_0002,2024-01-08,FAIL_000008,2024-07-09,183.0,1,1,-4,660.39,1063.15,Fuel
PM_000011,GEN_0002,2024-05-23,FAIL_000008,2024-07-09,47.0,1,1,4,562.15,1063.15,Fuel
PM_000012,GEN_0002,2024-10-03,FAIL_000009,2024-12-04,62.0,1,0,11,705.28,1362.88,Control Panel
PM_000013,GEN_0002,2025-01-22,FAIL_000012,2025-06-16,145.0,1,1,-4,674.68,1356.15,Cooling
PM_000014,GEN_0002,2025-05-11,FAIL_000012,2025-06-16,36.0,1,1,-5,522.42,1356.15,Cooling
PM_000015,GEN_0002,2025-09-06,,,,0,1,-5,624.36,,
PM_000016,GEN_0003,2023-05-09,FAIL_000013,2023-07-16,68.0,1,0,23,513.37,1562.91,Cooling
PM_000017,GEN_0003,2023-08-28,FAIL_000014,2023-10-26,59.0,1,1,1,838.74,1150.23,Alternator
PM_000018,GEN_0003,2023-12-16,FAIL_000015,2024-09-13,272.0,1,1,-3,490.04,1512.13,Cooling
PM_000019,GEN_0003,2024-03-31,FAIL_000015,2024-09-13,166.0,1,1,-5,584.29,1512.13,Cooling
PM_000020,GEN_0003,2024-07-29,FAIL_000015,2024-09-13,46.0,1,0,9,778.22,1512.13,Cooling
PM_000021,GEN_0003,2024-11-30,FAIL_000017,2025-09-04,278.0,1,1,0,703.36,664.89,Control Panel
PM_000022,GEN_0003,2025-04-05,FAIL_000017,2025-09-04,152.0,1,1,-5,1087.91,664.89,Control Panel
PM_000023,GEN_0003,2025-08-12,FAIL_000017,2025-09-04,23.0,1,1,-2,747.36,664.89,Control Panel
PM_000024,GEN_0003,2025-12-03,,,,0,1,4,698.38,,
PM_000025,GEN_0004,2023-03-21,FAIL_000019,2023-08-09,141.0,1,1,-5,507.84,943.08,Fuel
PM_000026,GEN_0004,2023-07-02,FAIL_000019,2023-08-09,38.0,1,1,6,857.0,943.08,Fuel
PM_000027,GEN_0004,2023-10-13,FAIL_000020,2024-12-01,415.0,1,0,18,600.02,943.63,Oil
PM_000028,GEN_0004,2024-01-13,FAIL_000020,2024-12-01,323.0,1,0,14,503.83,943.63,Oil
PM_000029,GEN_0004,2024-04-02,FAIL_000020,2024-12-01,243.0,1,1,-5,954.77,943.63,Oil
PM_000030,GEN_0004,2024-06-30,FAIL_000020,2024-12-01,154.0,1,0,8,784.36,943.63,Oil
PM_000031,GEN_0004,2024-10-29,FAIL_000020,2024-12-01,33.0,1,0,20,781.56,943.63,Oil
PM_000032,GEN_0004,2025-01-20,FAIL_000021,2025-07-01,162.0,1,1,4,643.16,789.15,Oil
PM_000033,GEN_0004,2025-05-18,FAIL_000021,2025-07-01,44.0,1,0,22,768.85,789.15,Oil
PM_000034,GEN_0004,2025-08-13,,,,0,1,-5,390.49,,
PM_000035,GEN_0004,2025-10-29,,,,0,1,-3,397.32,,
PM_000036,GEN_0005,2023-02-20,FAIL_000022,2023-09-17,209.0,1,1,5,417.21,1458.17,Cooling
PM_000037,GEN_0005,2023-05-27,FAIL_000022,2023-09-17,113.0,1,1,-5,519.29,1458.17,Cooling
PM_000038,GEN_0005,2023-08-25,FAIL_000022,2023-09-17,23.0,1,1,-3,787.51,1458.17,Cooling
PM_000039,GEN_0005,2023-11-18,FAIL_000023,2024-03-20,123.0,1,1,4,524.72,694.43,Starter
PM_000040,GEN_0005,2024-02-18,FAIL_000023,2024-03-20,31.0,1,0,8,414.02,694.43,Starter
PM_000041,GEN_0005,2024-06-04,FAIL_000026,2024-07-16,42.0,1,0,9,958.65,1126.74,Fuel
PM_000042,GEN_0005,2024-09-17,FAIL_000027,2024-10-02,15.0,1,0,9,671.68,808.69,Oil
PM_000043,GEN_0005,2025-01-02,FAIL_000028,2025-10-28,299.0,1,0,20,540.95,1024.64,Oil
PM_000044,GEN_0005,2025-03-18,FAIL_000028,2025-10-28,224.0,1,1,-5,321.0,1024.64,Oil
PM_000045,GEN_0005,2025-06-28,FAIL_000028,2025-10-28,122.0,1,0,16,648.44,1024.64,Oil
PM_000046,GEN_0005,2025-10-06,FAIL_000028,2025-10-28,22.0,1,1,7,572.48,1024.64,Oil
PM_000047,GEN_0006,2023-03-20,FAIL_000029,2024-09-23,553.0,1,1,7,419.98,1825.09,Control Panel
PM_000048,GEN_0006,2023-06-26,FAIL_000029,2024-09-23,455.0,1,1,0,450.93,1825.09,Control Panel
PM_000049,GEN_0006,2023-10-05,FAIL_000029,2024-09-23,354.0,1,0,13,565.85,1825.09,Control Panel
PM_000050,GEN_0006,2024-01-29,FAIL_000029,2024-09-23,238.0,1,0,19,804.41,1825.09,Control Panel
PM_000051,GEN_0006,2024-04-27,FAIL_000029,2024-09-23,149.0,1,1,-5,947.97,1825.09,Control Panel
PM_000052,GEN_0006,2024-08-04,FAIL_000029,2024-09-23,50.0,1,1,3,848.81,1825.09,Control Panel
PM_000053,GEN_0006,2024-11-03,FAIL_000030,2025-07-03,242.0,1,1,-5,572.93,1695.25,Oil
PM_000054,GEN_0006,2025-02-06,FAIL_000030,2025-07-03,147.0,1,1,-3,644.7,1695.25,Oil
PM_000055,GEN_0006,2025-05-25,FAIL_000030,2025-07-03,39.0,1,0,11,437.03,1695.25,Oil
PM_000056,GEN_0006,2025-08-15,FAIL_000031,2025-09-08,24.0,1,1,-1,1027.39,431.8,Cooling
PM_000057,GEN_0006,2025-11-27,FAIL_000032,2025-12-19,22.0,1,0,8,594.17,1549.49,Alternator
PM_000058,GEN_0007,2023-03-30,FAIL_000033,2023-05-26,57.0,1,0,10,582.31,996.55,Control Panel
PM_000059,GEN_0007,2023-07-07,FAIL_000034,2023-11-11,127.0,1,0,13,554.61,814.58,Starter
PM_000060,GEN_0007,2023-10-21,FAIL_000034,2023-11-11,21.0,1,0,9,647.63,814.58,Starter
PM_000061,GEN_0007,2024-01-22,FAIL_000035,2024-11-19,302.0,1,0,10,757.66,1628.8,Starter
PM_000062,GEN_0007,2024-04-22,FAIL_000035,2024-11-19,211.0,1,1,2,746.66,1628.8,Starter
PM_000063,GEN_0007,2024-07-16,FAIL_000035,2024-11-19,126.0,1,1,0,1084.11,1628.8,Starter
PM_000064,GEN_0007,2024-10-20,FAIL_000035,2024-11-19,30.0,1,1,-3,550.59,1628.8,Starter
PM_000065,GEN_0007,2025-01-15,,,,0,1,-5,632.41,,
PM_000066,GEN_0007,2025-04-19,,,,0,1,1,451.01,,
PM_000067,GEN_0007,2025-07-14,,,,0,1,5,544.45,,
PM_000068,GEN_0007,2025-10-09,,,,0,1,-5,851.1,,
PM_000069,GEN_0008,2023-02-12,FAIL_000036,2024-09-06,572.0,1,0,13,451.4,1818.61,Oil
PM_000070,GEN_0008,2023-07-02,FAIL_000036,2024-09-06,432.0,1,0,13,771.7,1818.61,Oil
PM_000071,GEN_0008,2023-11-19,FAIL_000036,2024-09-06,292.0,1,0,8,582.39,1818.61,Oil
PM_000072,GEN_0008,2024-03-03,FAIL_000036,2024-09-06,187.0,1,1,-5,350.07,1818.61,Oil
PM_000073,GEN_0008,2024-07-01,FAIL_000036,2024-09-06,67.0,1,1,1,566.31,1818.61,Oil
PM_000074,GEN_0008,2024-11-19,FAIL_000037,2025-03-08,109.0,1,0,15,813.43,2003.62,Fuel
PM_000075,GEN_0008,2025-04-04,FAIL_000038,2025-11-01,211.0,1,1,7,927.91,1753.48,Cooling
PM_000076,GEN_0008,2025-08-06,FAIL_000038,2025-11-01,87.0,1,1,-5,756.62,1753.48,Cooling
PM_000077,GEN_0008,2025-12-12,,,,0,1,0,475.06,,
PM_000078,GEN_0009,2023-01-26,FAIL_000039,2023-03-05,38.0,1,0,19,931.85,779.16,Control Panel
PM_000079,GEN_0009,2023-05-10,FAIL_000041,2023-09-04,117.0,1,1,7,683.71,1569.94,Cooling
PM_000080,GEN_0009,2023-08-16,FAIL_000041,2023-09-04,19.0,1,1,2,685.16,1569.94,Cooling
PM_000081,GEN_0009,2023-12-01,FAIL_000042,2024-01-16,46.0,1,0,27,835.99,920.89,Oil
PM_000082,GEN_0009,2024-03-17,FAIL_000045,2024-04-12,26.0,1,0,16,705.04,1828.08,Fuel
PM_000083,GEN_0009,2024-06-18,FAIL_000047,2024-11-16,151.0,1,1,1,488.24,744.94,Battery
