pm_event_id,asset_id,scheduled_date,completed_date,pm_date,pm_type,status,delay_days,ontime_flag,priority,labor_hours,labor_cost,material_cost,other_costs,total_cost,age_years_at_pm,region,environment_type,model
PM_000001,GEN_0001,2023-01-11,2023-01-27,2023-01-27,Quarterly Service,Completed,16,0,Normal,6.22,399.91,116.5,0.0,516.41,3.75,South,Hot-Dry,GENX-550
PM_000002,GEN_0001,2023-08-05,2023-08-08,2023-08-08,Routine Inspection,Completed,3,1,Normal,2.31,170.18,44.8,24.14,239.12,4.27,South,Hot-Dry,GENX-550
PM_000003,GEN_0001,2024-01-26,2024-02-11,2024-02-11,Quarterly Service,Completed,16,0,Normal,6.72,620.46,234.72,37.79,892.97,4.79,South,Hot-Dry,GENX-550
PM_000004,GEN_0001,2024-07-29,2024-08-08,2024-08-08,Oil & Filter,Completed,10,0,Normal,4.28,346.48,129.21,20.82,496.51,5.28,South,Hot-Dry,GENX-550
PM_000005,GEN_0001,2025-02-01,2025-02-04,2025-02-04,Quarterly Service,Completed,3,1,Normal,7.18,605.77,83.61,33.26,722.64,5.77,South,Hot-Dry,GENX-550
PM_000006,GEN_0001,2025-08-15,2025-08-24,2025-08-24,Load Bank Test,Completed,9,0,Normal,5.97,514.04,194.5,23.8,732.34,6.32,South,Hot-Dry,GENX-550
PM_000007,GEN_0002,2023-01-18,2023-01-21,2023-01-21,Routine Inspection,Completed,3,1,High,7.12,571.39,278.15,49.51,899.05,0.1,North,Cold,GENX-550
PM_000008,GEN_0002,2023-05-24,2023-06-10,2023-06-10,Load Bank Test,Completed,17,0,High,3.5,233.41,155.5,32.1,421.01,0.1,North,Cold,GENX-550
PM_000009,GEN_0002,2023-09-27,2023-09-22,2023-09-22,Load Bank Test,Completed,-5,1,High,8.52,608.9,105.9,6.9,721.7,0.33,North,Cold,GENX-550
PM_000010,GEN_0002,2024-01-12,2024-01-08,2024-01-08,Quarterly Service,Completed,-4,1,High,4.27,242.15,362.73,55.51,660.39,0.63,North,Cold,GENX-550
PM_000011,GEN_0002,2024-05-19,2024-05-23,2024-05-23,Quarterly Service,Completed,4,1,High,6.27,364.11,141.68,56.36,562.15,1.0,North,Cold,GENX-550
PM_000012,GEN_0002,2024-09-22,2024-10-03,2024-10-03,Routine Inspection,Completed,11,0,High,5.15,347.57,288.2,69.51,705.28,1.36,North,Cold,GENX-550
PM_000013,GEN_0002,2025-01-26,2025-01-22,2025-01-22,Quarterly Service,Completed,-4,1,High,6.58,486.58,100.14,87.96,674.68,1.67,North,Cold,GENX-550
PM_000014,GEN_0002,2025-05-16,2025-05-11,2025-05-11,Quarterly Service,Completed,-5,1,High,5.1,351.36,142.63,28.43,522.42,1.97,North,Cold,GENX-550
PM_000015,GEN_0002,2025-09-11,2025-09-06,2025-09-06,Oil & Filter,Completed,-5,1,High,5.05,401.55,194.69,28.12,624.36,2.29,North,Cold,GENX-550
PM_000016,GEN_0003,2023-04-16,2023-05-09,2023-05-09,Load Bank Test,Completed,23,0,High,4.58,319.57,165.03,28.77,513.37,7.43,East,Hot-Dry,CUM-500
PM_000017,GEN_0003,2023-08-27,2023-08-28,2023-08-28,Oil & Filter,Completed,1,1,High,7.16,624.1,182.2,32.44,838.74,7.73,East,Hot-Dry,CUM-500
PM_000018,GEN_0003,2023-12-19,2023-12-16,2023-12-16,Routine Inspection,Completed,-3,1,High,3.25,236.99,160.25,92.8,490.04,8.04,East,Hot-Dry,CUM-500
PM_000019,GEN_0003,2024-04-05,2024-03-31,2024-03-31,Oil & Filter,Completed,-5,1,High,7.55,447.98,136.31,0.0,584.29,8.33,East,Hot-Dry,CUM-500
PM_000020,GEN_0003,2024-07-20,2024-07-29,2024-07-29,Routine Inspection,Completed,9,0,High,5.62,387.87,356.25,34.1,778.22,8.65,East,Hot-Dry,CUM-500
PM_000021,GEN_0003,2024-11-30,2024-11-30,2024-11-30,Quarterly Service,Completed,0,1,High,5.49,447.09,209.83,46.44,703.36,8.99,East,Hot-Dry,CUM-500
PM_000022,GEN_0003,2025-04-10,2025-04-05,2025-04-05,Quarterly Service,Completed,-5,1,High,7.59,655.07,361.07,71.77,1087.91,9.34,East,Hot-Dry,CUM-500
PM_000023,GEN_0003,2025-08-14,2025-08-12,2025-08-12,Routine Inspection,Completed,-2,1,High,5.5,409.81,280.17,57.38,747.36,9.69,East,Hot-Dry,CUM-500
PM_000024,GEN_0003,2025-11-29,2025-12-03,2025-12-03,Quarterly Service,Completed,4,1,High,6.22,476.85,202.87,18.66,698.38,10.0,East,Hot-Dry,CUM-500
PM_000025,GEN_0004,2023-03-26,2023-03-21,2023-03-21,Routine Inspection,Completed,-5,1,Normal,5.29,410.25,55.77,41.82,507.84,3.76,North,Urban,CUM-500
PM_000026,GEN_0004,2023-06-26,2023-07-02,2023-07-02,Quarterly Service,Completed,6,1,Normal,8.46,780.54,25.0,51.46,857.0,4.05,North,Urban,CUM-500
PM_000027,GEN_0004,2023-09-25,2023-10-13,2023-10-13,Quarterly Service,Completed,18,0,Normal,4.97,361.27,191.06,47.69,600.02,4.33,North,Urban,CUM-500
PM_000028,GEN_0004,2023-12-30,2024-01-13,2024-01-13,Load Bank Test,Completed,14,0,Normal,4.7,312.31,175.52,16.0,503.83,4.58,North,Urban,CUM-500
PM_000029,GEN_0004,2024-04-07,2024-04-02,2024-04-02,Load Bank Test,Completed,-5,1,Normal,9.07,558.38,351.31,45.08,954.77,4.8,North,Urban,CUM-500
PM_000030,GEN_0004,2024-06-22,2024-06-30,2024-06-30,Quarterly Service,Completed,8,0,Normal,8.91,573.4,204.68,6.28,784.36,5.04,North,Urban,CUM-500
PM_000031,GEN_0004,2024-10-09,2024-10-29,2024-10-29,Load Bank Test,Completed,20,0,Normal,8.44,555.12,152.72,73.72,781.56,5.37,North,Urban,CUM-500
PM_000032,GEN_0004,2025-01-16,2025-01-20,2025-01-20,Quarterly Service,Completed,4,1,Normal,5.16,467.78,151.42,23.96,643.16,5.6,North,Urban,CUM-500
PM_000033,GEN_0004,2025-04-26,2025-05-18,2025-05-18,Load Bank Test,Completed,22,0,Normal,5.74,506.29,245.26,17.3,768.85,5.92,North,Urban,CUM-500
PM_000034,GEN_0004,2025-08-18,2025-08-13,2025-08-13,Routine Inspection,Completed,-5,1,Normal,2.56,152.37,235.56,2.56,390.49,6.16,North,Urban,CUM-500
PM_000035,GEN_0004,2025-11-01,2025-10-29,2025-10-29,Quarterly Service,Completed,-3,1,Normal,1.89,115.99,231.53,49.8,397.32,6.37,North,Urban,CUM-500
PM_000036,GEN_0005,2023-02-15,2023-02-20,2023-02-20,Oil & Filter,Completed,5,1,Normal,5.34,296.65,120.56,0.0,417.21,0.1,East,Coastal,CAT-450
PM_000037,GEN_0005,2023-06-01,2023-05-27,2023-05-27,Load Bank Test,Completed,-5,1,Normal,6.35,361.21,142.29,15.79,519.29,0.1,East,Coastal,CAT-450
PM_000038,GEN_0005,2023-08-28,2023-08-25,2023-08-25,Quarterly Service,Completed,-3,1,Normal,7.54,568.47,166.73,52.31,787.51,0.1,East,Coastal,CAT-450
PM_000039,GEN_0005,2023-11-14,2023-11-18,2023-11-18,Routine Inspection,Completed,4,1,Normal,3.86,300.3,198.01,26.41,524.72,0.1,East,Coastal,CAT-450
PM_000040,GEN_0005,2024-02-10,2024-02-18,2024-02-18,Quarterly Service,Completed,8,0,Normal,3.0,192.41,195.93,25.68,414.02,0.1,East,Coastal,CAT-450
PM_000041,GEN_0005,2024-05-26,2024-06-04,2024-06-04,Load Bank Test,Completed,9,0,Normal,9.81,823.67,106.38,28.6,958.65,0.21,East,Coastal,CAT-450
PM_000042,GEN_0005,2024-09-08,2024-09-17,2024-09-17,Load Bank Test,Completed,9,0,Normal,5.9,445.04,213.36,13.28,671.68,0.49,East,Coastal,CAT-450
PM_000043,GEN_0005,2024-12-13,2025-01-02,2025-01-02,Oil & Filter,Completed,20,0,Normal,5.8,343.74,155.78,41.43,540.95,0.79,East,Coastal,CAT-450
PM_000044,GEN_0005,2025-03-23,2025-03-18,2025-03-18,Load Bank Test,Completed,-5,1,Normal,4.07,235.96,35.11,49.93,321.0,0.99,East,Coastal,CAT-450
PM_000045,GEN_0005,2025-06-12,2025-06-28,2025-06-28,Load Bank Test,Completed,16,0,Normal,6.16,396.44,228.5,23.5,648.44,1.27,East,Coastal,CAT-450
PM_000046,GEN_0005,2025-09-29,2025-10-06,2025-10-06,Quarterly Service,Completed,7,1,Normal,5.82,376.53,160.24,35.71,572.48,1.54,East,Coastal,CAT-450
PM_000047,GEN_0006,2023-03-13,2023-03-20,2023-03-20,Quarterly Service,Completed,7,1,High,1.5,129.22,252.06,38.7,419.98,1.36,East,Cold,CAT-450
PM_000048,GEN_0006,2023-06-26,2023-06-26,2023-06-26,Quarterly Service,Completed,0,1,High,3.59,215.86,184.69,50.38,450.93,1.62,East,Cold,CAT-450
PM_000049,GEN_0006,2023-09-22,2023-10-05,2023-10-05,Quarterly Service,Completed,13,0,High,4.83,304.76,222.93,38.16,565.85,1.9,East,Cold,CAT-450
PM_000050,GEN_0006,2024-01-10,2024-01-29,2024-01-29,Routine Inspection,Completed,19,0,High,6.78,508.36,268.25,27.8,804.41,2.22,East,Cold,CAT-450
PM_000051,GEN_0006,2024-05-02,2024-04-27,2024-04-27,Oil & Filter,Completed,-5,1,High,9.57,582.73,334.85,30.39,947.97,2.46,East,Cold,CAT-450
PM_000052,GEN_0006,2024-08-01,2024-08-04,2024-08-04,Load Bank Test,Completed,3,1,High,6.95,546.93,279.07,22.81,848.81,2.73,East,Cold,CAT-450
PM_000053,GEN_0006,2024-11-08,2024-11-03,2024-11-03,Oil & Filter,Completed,-5,1,High,5.7,411.01,151.98,9.94,572.93,2.98,East,Cold,CAT-450
PM_000054,GEN_0006,2025-02-09,2025-02-06,2025-02-06,Routine Inspection,Completed,-3,1,High,7.89,474.17,132.86,37.67,644.7,3.24,East,Cold,CAT-450
PM_000055,GEN_0006,2025-05-14,2025-05-25,2025-05-25,Load Bank Test,Completed,11,0,High,3.21,224.04,179.19,33.8,437.03,3.54,East,Cold,CAT-450
PM_000056,GEN_0006,2025-08-16,2025-08-15,2025-08-15,Quarterly Service,Completed,-1,1,High,7.05,644.19,322.13,61.07,1027.39,3.76,East,Cold,CAT-450
PM_000057,GEN_0006,2025-11-19,2025-11-27,2025-11-27,Load Bank Test,Completed,8,0,High,6.49,387.69,206.48,0.0,594.17,4.05,East,Cold,CAT-450
PM_000058,GEN_0007,2023-03-20,2023-03-30,2023-03-30,Oil & Filter,Completed,10,0,High,3.9,347.96,227.65,6.7,582.31,0.57,West,Hot-Dry,GENX-550
PM_000059,GEN_0007,2023-06-24,2023-07-07,2023-07-07,Routine Inspection,Completed,13,0,High,6.92,497.34,51.15,6.12,554.61,0.84,West,Hot-Dry,GENX-550
PM_000060,GEN_0007,2023-10-12,2023-10-21,2023-10-21,Load Bank Test,Completed,9,0,High,5.66,378.65,213.26,55.72,647.63,1.13,West,Hot-Dry,GENX-550
PM_000061,GEN_0007,2024-01-12,2024-01-22,2024-01-22,Load Bank Test,Completed,10,0,High,5.09,454.31,253.44,49.91,757.66,1.39,West,Hot-Dry,GENX-550
PM_000062,GEN_0007,2024-04-20,2024-04-22,2024-04-22,Oil & Filter,Completed,2,1,High,5.82,518.85,195.23,32.58,746.66,1.63,West,Hot-Dry,GENX-550
PM_000063,GEN_0007,2024-07-16,2024-07-16,2024-07-16,Load Bank Test,Completed,0,1,High,8.97,778.82,273.24,32.05,1084.11,1.87,West,Hot-Dry,GENX-550
PM_000064,GEN_0007,2024-10-23,2024-10-20,2024-10-20,Quarterly Service,Completed,-3,1,High,4.9,302.41,186.55,61.63,550.59,2.13,West,Hot-Dry,GENX-550
PM_000065,GEN_0007,2025-01-20,2025-01-15,2025-01-15,Quarterly Service,Completed,-5,1,High,7.21,555.68,76.73,0.0,632.41,2.37,West,Hot-Dry,GENX-550
PM_000066,GEN_0007,2025-04-18,2025-04-19,2025-04-19,Routine Inspection,Completed,1,1,High,3.32,202.64,157.82,90.55,451.01,2.63,West,Hot-Dry,GENX-550
PM_000067,GEN_0007,2025-07-09,2025-07-14,2025-07-14,Routine Inspection,Completed,5,1,High,3.64,257.78,249.26,37.41,544.45,2.86,West,Hot-Dry,GENX-550
PM_000068,GEN_0007,2025-10-14,2025-10-09,2025-10-09,Load Bank Test,Completed,-5,1,High,8.16,556.62,228.65,65.83,851.1,3.1,West,Hot-Dry,GENX-550
PM_000069,GEN_0008,2023-01-30,2023-02-12,2023-02-12,Quarterly Service,Completed,13,0,High,4.31,253.73,197.67,0.0,451.4,0.1,West,Hot-Dry,CAT-450
PM_000070,GEN_0008,2023-06-19,2023-07-02,2023-07-02,Routine Inspection,Completed,13,0,High,6.49,397.99,315.22,58.49,771.7,0.46,West,Hot-Dry,CAT-450
PM_000071,GEN_0008,2023-11-11,2023-11-19,2023-11-19,Quarterly Service,Completed,8,0,High,4.84,390.72,183.31,8.36,582.39,0.84,West,Hot-Dry,CAT-450
PM_000072,GEN_0008,2024-03-08,2024-03-03,2024-03-03,Oil & Filter,Completed,-5,1,High,3.71,315.22,34.85,0.0,350.07,1.13,West,Hot-Dry,CAT-450
PM_000073,GEN_0008,2024-06-30,2024-07-01,2024-07-01,Load Bank Test,Completed,1,1,High,5.03,400.93,120.97,44.41,566.31,1.46,West,Hot-Dry,CAT-450
PM_000074,GEN_0008,2024-11-04,2024-11-19,2024-11-19,Quarterly Service,Completed,15,0,High,4.73,428.72,333.89,50.82,813.43,1.84,West,Hot-Dry,CAT-450
PM_000075,GEN_0008,2025-03-28,2025-04-04,2025-04-04,Load Bank Test,Completed,7,1,High,5.96,536.77,374.87,16.27,927.91,2.21,West,Hot-Dry,CAT-450
PM_000076,GEN_0008,2025-08-11,2025-08-06,2025-08-06,Routine Inspection,Completed,-5,1,High,5.16,487.36,231.98,37.28,756.62,2.55,West,Hot-Dry,CAT-450
